Episode,Step,Action Type,Reward,Energy Output,Unmet Demand
1,1,wind,0.085899728846369,57000.24396896362,57130499.75603104
1,2,wind,0.03577636740482172,146001.44704055786,57098498.796928406
1,3,solar,0.9602396159454346,726152.6573600769,56607348.78968048
1,4,solar,1.075778158753818,1851033.887248993,56062618.770111084
1,5,wind,0.005299324781244214,2996748.323659897,56041785.563589096
1,6,solar,1.091871088593906,4694507.747749329,55489740.57591057
1,7,wind,0.05158700478156039,6433419.902509689,55448587.84523964
1,8,wind,0.18206294264133321,8270826.914207458,55350092.98830223
1,9,wind,0.0890542990910937,10164292.25917244,55294034.65503502
1,10,solar,0.8583679080815957,12507772.603050232,54844019.65612221
1,11,wind,0.0673896942053031,14901844.502820969,54793428.10022926
1,12,solar,0.9156547259493737,17770631.42324829,54318713.07957268
1,13,solar,0.9369636003086925,21122113.32954216,53836018.09370613
1,14,wind,0.07624228959852945,24529779.888458252,53779833.44108391
1,15,wind,0.06701793327001855,27983488.250722885,53733791.63773537
1,16,wind,0.034561605178903554,31471673.018520355,53699315.23220253
1,17,wind,0.23380372975028005,35083836.301065445,53575336.71745491
1,18,solar,1.0789131308493076,39242154.59049606,53029181.71056938
1,19,wind,0.2230995401518978,43521710.839673996,52907943.75082207
1,20,solar,0.9762940941748093,48300777.07906723,52408433.760606766
1,21,wind,0.13100123749337275,53155871.06726265,52332406.01180458
1,22,wind,0.22118740812764387,58131493.73179626,52211877.335466385
1,23,wind,0.053651377760904145,63151463.26292991,52167530.46886635
1,24,wind,0.39136509431386485,68369314.96412277,51969648.298807144
1,25,solar,0.9301436047836288,74064636.66749,51492178.29663277
1,26,wind,-0.002158299882370047,79774556.43186377,51477580.23562622
1,27,wind,0.027939731616345234,85512755.1806526,51449301.25121117
1,28,solar,0.9721490420583123,91752268.92473029,50947986.25592232
1,29,wind,0.026592205245094373,98019609.00874709,50920159.9159832
1,30,wind,0.0363036555314227,104327093.61464499,50880015.3941021
1,31,wind,0.0843176898166514,110689546.04245755,50825047.57218742
1,32,solar,0.9892906031890866,117556353.47171971,50320692.57073784
1,33,solar,0.9206085023415671,124900630.90315627,49843222.56856346
1,34,wind,0.0528044708879292,132288579.57716367,49799551.325992584
1,35,wind,-0.027794797475996894,139682820.70482633,49793258.87233734
1,36,wind,0.07849765086980304,147132731.52825546,49737589.17657089
1,37,wind,-0.023330087775285356,154587616.8727398,49732614.65551567
1,38,wind,0.07254923918508692,162091058.25053406,49684058.622205734
1,39,wind,0.05785852159522241,169638503.04846,49640055.20207405
1,40,solar,1.0885655832572934,177735427.83877563,49090575.20968437
1,41,wind,0.02666085031399969,185861192.73044205,49061735.10833359
1,42,wind,0.07516622630499536,194037765.68788147,49010927.04256058
1,43,wind,0.10359471161563648,202277166.12451935,48948099.56336212
1,44,solar,1.0165926090786817,211035456.55101013,48429209.57350922
1,45,wind,0.04192022087314399,219828540.59727097,48394415.953739166
1,46,wind,0.016749739685426465,228645879.76084137,48370160.836429596
1,47,wind,-0.015354255784763954,237476934.96697426,48356444.79386711
1,48,wind,0.03516926289277384,246340457.9334545,48323977.033519745
1,49,solar,0.9785546752522327,255705580.91986656,47822377.01358795
1,50,wind,0.07557433490804862,265120634.98309898,47772445.93676758
1,51,wind,-0.03409468193002278,274535770.57004356,47772364.41305542
1,52,wind,0.01929468933780212,283977471.5154877,47745799.05455589
1,53,solar,0.9780981542788795,293921627.46419334,47243344.05129433
1,54,wind,0.042245421933855394,303901907.708128,47207219.75606537
1,55,solar,0.9775098479443439,314384547.9622097,46704859.745918274
1,56,wind,0.06380349099903833,324915116.25561714,46656931.70659256
1,57,wind,0.0635246769737848,335496088.46863556,46606527.78698158
1,58,solar,0.9668335091563384,346575715.6885395,46107872.780096054
1,59,solar,0.9217836127563472,358129012.9142418,45634202.774297714
1,60,solar,0.9602396159454388,370173460.147192,45143052.76704979
1,61,wind,0.02181507041461766,382243562.2951584,45117397.852033615
1,62,solar,0.9961491499838326,394822199.4587078,44608862.83645058
1,Final,NA,NA,394822199.4587078,0.0
2,1,wind,-0.0027738281509271713,19229.755475997925,57168270.244524
2,2,wind,0.015380688224117457,69529.78218460083,57137199.9732914
2,3,wind,0.010523889083020644,144442.47270011902,57112587.30948448
2,4,wind,0.13508596729254027,296336.9820289612,57035605.49067116
2,5,wind,0.03346508098899591,483271.9696674347,57000565.01236153
2,6,wind,0.09726244353218749,729836.397808075,56940935.57185936
2,7,wind,0.015150165988547378,998706.5039310455,56918629.89387703
2,8,wind,0.09488669701424624,1328661.839553833,56857544.66437721
2,9,wind,0.027415358339761442,1689845.2866916656,56826316.55286217
2,10,solar,1.0672476334854122,2590818.7490501404,56286526.537641525
2,11,wind,0.061474896951682165,3535154.5852832794,56243164.16376686
2,12,wind,0.006305493894503452,4502283.569452286,56220371.01583099
2,13,wind,-0.026551274724823888,5472922.8987903595,56216860.670661926
2,14,solar,1.0891926374717709,6993327.2451610565,55667095.6536293
2,15,wind,0.05818015398247517,8561016.05573082,55619811.18943024
2,16,wind,0.008674387421171995,10148226.876081467,55600289.17964935
2,17,wind,0.03850666533585288,11768359.965026855,55567366.91105461
2,18,wind,-0.03592198843320832,13393279.687242508,55562580.27778435
2,19,solar,0.9586446679946187,15514574.400398254,55066205.28684425
2,20,solar,1.0969255752845761,18189149.102319717,54512925.29807854
2,21,wind,0.03201927816389711,20894919.620859146,54481729.48146057
2,22,solar,1.0633532318826795,24141715.155706406,53940704.46515274
2,23,wind,0.08837338185980684,27446384.501714706,53882830.6539917
2,24,wind,0.032743289731352127,30781516.267644882,53852368.234069824
2,25,solar,0.958017192816363,34609793.03212547,53359223.23551941
2,26,wind,0.020298096397516785,38464097.67084122,53333195.361284256
2,27,wind,0.029530290436637588,42350569.32639885,53301028.34444237
2,28,wind,0.05630107046865742,46278211.48403168,53259857.84236717
2,29,wind,0.08932171741089086,50272233.460199356,53193478.02383232
2,30,solar,0.9553941141066001,54756265.43564224,52703468.02455711
2,31,wind,0.016817232804988744,59264743.074596405,52679022.36104584
2,32,solar,1.067247633485411,64313010.7287712,52139232.345825195
2,33,solar,1.063276622323608,69899263.39309311,51601247.3356781
2,34,wind,0.22353042145831858,75602859.76836012,51483903.62473297
2,35,wind,0.1741978855389799,81402438.46747208,51387921.30088806
2,36,wind,0.09724159263897454,87267906.82446289,51322031.643009186
2,37,wind,-0.030247279101910534,93139036.39713097,51316370.427331924
2,38,wind,0.052180608866636176,99049463.53478241,51277072.86234856
2,39,wind,0.045470805687848476,104996138.32688141,51240825.207901
2,40,wind,0.06186384206434013,110991452.25183107,51192186.075050354
2,41,wind,0.10060278344962513,117051261.29970932,51127690.952121735
2,42,wind,0.13124504556554836,123186306.29288864,51052455.00682068
2,43,wind,0.07010186225261307,129373894.84106064,50999911.451828
2,44,wind,0.07863934418447781,135613870.14495087,50947524.69610977
2,45,solar,1.0306725936218282,142377010.44594193,50424359.69900894
2,46,wind,0.007357366915799211,149162513.94223022,50401996.5037117
2,47,solar,0.9986956191345211,156456647.44721603,49893366.49501419
2,48,wind,0.03927541101360926,163788789.87750053,49855357.56971549
2,49,solar,1.0117307070609323,171641437.31648254,49334852.56101799
2,50,wind,0.0793247743612202,179550820.54323387,49278116.77324867
2,51,wind,0.034008063788558356,187494246.2708397,49244074.27239418
2,52,solar,0.9292691141066002,195915806.99772072,48765939.27311897
2,53,wind,0.0394202631256613,204375274.9713936,48728032.02632713
2,54,wind,0.06962904599695001,212883936.73605156,48678838.235342026
2,55,solar,0.9039801531729149,221859238.51774216,48212198.2183094
2,56,wind,0.027558335002504753,230863708.41461372,48183030.10312843
2,57,wind,0.11442996048190864,239935930.90380478,48115277.510808945
2,58,solar,0.9529246478363057,249495978.4147396,47627452.48906517
2,59,wind,-0.009677518265971448,259071943.3869934,47611535.0277462
2,60,wind,-0.011015661143609322,268658640.2144642,47600803.17252922
